dataset,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
FaceFour,3,1336.4662,success,0.875,143.6005,0.9166666666666666,132.1787,0.9583333333333334,125.8369,0.875,142.7637,0.9166666666666666,132.171,0.9583333333333334,125.131,0.9583333333333334,88.4056,0.9583333333333334,79.4842,0.9166666666666666,78.5636,0.9583333333333334,92.3107,0.9583333333333334,79.6344,0.9166666666666666,78.1664
FaceFour,4,1359.0241,success,0.875,146.4541,0.875,128.556,0.875,121.9404,0.875,138.4883,0.875,126.5317,0.875,131.3079,0.875,102.6338,0.875,77.1682,0.875,82.3231,0.875,101.6452,0.875,81.8642,0.875,79.5918
FacesUCR,0,1259.1686,success,0.7901402080506559,110.6747,0.770239710538218,111.8405,0.7701643298658224,112.1895,0.7901402080506559,110.9733,0.770239710538218,111.8669,0.7701643298658224,112.1446,0.770239710538218,88.9014,0.7651892054877129,90.6884,0.7651892054877129,91.1793,0.770239710538218,89.3138,0.7651892054877129,90.4869,0.7651892054877129,91.5222
FacesUCR,1,1276.2448,success,0.7902909693954471,113.5146,0.7952660937735564,113.9145,0.785240464344942,114.3497,0.7902909693954471,113.2962,0.7952660937735564,114.2679,0.785240464344942,114.6042,0.7701643298658224,90.4617,0.8002412181516659,92.0025,0.7703150912106137,92.7544,0.7701643298658224,90.1686,0.8002412181516659,92.1154,0.7703150912106137,92.402
FacesUCR,2,1189.3176,success,0.7899894467058646,114.2974,0.7899140660334689,108.3413,0.7899894467058646,108.6751,0.7899894467058646,104.1564,0.7899140660334689,104.1356,0.7899894467058646,103.1288,0.8050655811849842,83.028,0.8050655811849842,84.9274,0.8100407055630936,85.2392,0.8050655811849842,83.2714,0.8050655811849842,84.4782,0.8100407055630936,85.693
FacesUCR,3,1184.6902,success,0.7997889341172923,106.8149,0.8098145635459068,107.8961,0.7948891904115785,103.9643,0.7997889341172923,104.8732,0.8098145635459068,103.9032,0.7948891904115785,102.2152,0.814865068596412,82.9942,0.8048394391677972,84.224,0.8048394391677972,85.3781,0.814865068596412,82.7297,0.8048394391677972,85.1065,0.8048394391677972,93.0078
FacesUCR,4,1165.8582,success,0.7551635760590983,104.6111,0.7551635760590983,103.559,0.7602894617819991,103.0905,0.7551635760590983,101.8032,0.7551635760590983,103.272,0.7602894617819991,103.1049,0.7802653399668324,83.6374,0.7651138248153174,84.2823,0.7751394542439319,85.5765,0.7802653399668324,82.8163,0.7651138248153174,84.8666,0.7751394542439319,85.7067
FiftyWords,0,8724.0969,success,0.6111111111111112,705.3414,0.6,728.1467,0.5911111111111111,729.9357,0.6111111111111112,725.777,0.6,727.2674,0.5911111111111111,730.5722,0.6155555555555555,660.0322,0.6088888888888889,659.2382,0.6000000000000001,680.6267,0.6155555555555555,673.0508,0.6088888888888889,670.3996,0.6000000000000001,673.3869
FiftyWords,1,8623.0432,success,0.6311111111111112,705.7395,0.6333333333333333,723.1873,0.6355555555555555,704.5371,0.6311111111111112,691.5645,0.6333333333333333,712.5273,0.6355555555555555,738.2427,0.6333333333333333,665.474,0.6288888888888889,667.6766,0.6422222222222222,671.6411,0.6333333333333333,654.8321,0.6288888888888889,653.2194,0.6422222222222222,671.401
FiftyWords,2,8720.5992,success,0.6133333333333333,702.9553,0.6222222222222222,708.0686,0.6177777777777779,729.4402,0.6133333333333333,707.6576,0.6222222222222222,717.425,0.6177777777777779,747.4691,0.6177777777777779,662.6727,0.6222222222222222,659.6517,0.6244444444444444,680.2739,0.6177777777777779,669.1625,0.6222222222222222,687.4653,0.6244444444444444,684.6726
