dataset,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
GunPoint,0,2.8266,success,0.8995098039215685,0.3904,0.8995098039215685,0.3869,0.8406862745098039,0.454,0.8406862745098039,0.4253,0.8602941176470589,0.5298,0.8406862745098039,0.4827
GunPoint,1,2.8611,success,0.8406862745098039,0.3863,0.8382352941176471,0.3803,0.8982843137254902,0.4538,0.8799019607843137,0.4239,0.8799019607843137,0.5275,0.8406862745098039,0.4878
GunPoint,2,2.83,success,0.8002450980392156,0.391,0.801470588235294,0.384,0.8002450980392157,0.4578,0.7598039215686274,0.4285,0.7598039215686274,0.5348,0.8002450980392157,0.4779
GunPoint,3,2.8115,success,0.9203431372549019,0.3908,0.8799019607843137,0.3822,0.9203431372549019,0.4528,0.8602941176470589,0.424,0.8590686274509803,0.5269,0.8394607843137255,0.4732
GunPoint,4,2.8446,success,0.8799019607843137,0.3919,0.8811274509803922,0.3848,0.8406862745098039,0.459,0.8406862745098039,0.4289,0.8406862745098039,0.5406,0.8198529411764706,0.4828
GunPointAgeSpan,0,4.5743,success,0.9185185185185185,0.4405,0.9185185185185185,0.4247,0.8962962962962964,0.7488,0.9037037037037038,0.6748,0.8888888888888888,1.1291,0.8962962962962964,0.9683
GunPointAgeSpan,1,4.6325,success,0.9259259259259259,0.4486,0.9185185185185185,0.431,0.9259259259259259,0.7661,0.9259259259259259,0.6782,0.9259259259259259,1.1433,0.9111111111111111,0.9755
GunPointAgeSpan,2,4.5519,success,0.9481481481481482,0.4394,0.9407407407407407,0.4221,0.9481481481481481,0.748,0.9333333333333332,0.6671,0.9407407407407407,1.1221,0.9333333333333332,0.9684
GunPointAgeSpan,3,4.7691,success,0.9259259259259259,0.4638,0.9259259259259259,0.455,0.9185185185185185,0.785,0.8962962962962963,0.7027,0.9037037037037038,1.1641,0.8962962962962963,1.0007
GunPointAgeSpan,4,4.6812,success,0.9481481481481481,0.4552,0.9481481481481481,0.4488,0.9407407407407407,0.7668,0.9407407407407407,0.6895,0.9407407407407407,1.1466,0.9407407407407407,0.9833
GunPointMaleVersusFemale,0,4.1433,success,0.9703703703703704,0.4465,0.9333333333333332,0.4317,0.9481481481481481,0.6641,0.9185185185185185,0.6262,0.9407407407407407,0.9367,0.9185185185185185,0.8562
GunPointMaleVersusFemale,1,4.5168,success,0.9481481481481482,0.4645,0.9407407407407407,0.4488,0.9481481481481482,0.6863,0.9407407407407407,0.6422,0.9555555555555556,0.9447,0.9407407407407407,0.869
