dataset,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
steel-plates-fault,1,5.4621,success,0.77262313860252,0.6824,0.7262313860252005,0.5059,0.7686139747995417,0.8771,0.7531500572737686,0.6614,0.7829324169530355,1.2111,0.7491408934707904,0.926
steel-plates-fault,2,5.3166,success,0.7668957617411225,0.6569,0.7348224513172967,0.4915,0.7760595647193584,0.8506,0.7588774341351661,0.6441,0.7823596792668958,1.2198,0.7668957617411225,0.8737
steel-plates-fault,3,5.3841,success,0.7571592210767468,0.6744,0.7302405498281788,0.4965,0.7686139747995417,0.8699,0.7485681557846506,0.6457,0.7909507445589922,1.2147,0.7651775486827033,0.8953
steel-plates-fault,4,5.4147,success,0.7600229095074456,0.677,0.7290950744558993,0.496,0.7760595647193584,0.8783,0.7554410080183276,0.6594,0.781786941580756,1.2316,0.761168384879725,0.8829
climate-model-simulation-crashes,0,2.3572,success,0.9156378600823044,0.3496,0.9135802469135802,0.3369,0.9362139917695473,0.3614,0.9238683127572016,0.3482,0.9485596707818931,0.3926,0.9423868312757202,0.3776
climate-model-simulation-crashes,1,2.3609,success,0.9156378600823044,0.363,0.9135802469135802,0.3419,0.9362139917695473,0.3637,0.9176954732510287,0.3477,0.9444444444444445,0.3872,0.9362139917695473,0.3672
climate-model-simulation-crashes,2,2.3679,success,0.9135802469135802,0.3527,0.9135802469135802,0.3358,0.934156378600823,0.3593,0.9238683127572016,0.3525,0.9382716049382717,0.3951,0.9382716049382717,0.3791
climate-model-simulation-crashes,3,2.3893,success,0.9176954732510287,0.3555,0.9135802469135802,0.3336,0.9259259259259259,0.3758,0.9197530864197531,0.359,0.9465020576131687,0.398,0.9362139917695472,0.3762
climate-model-simulation-crashes,4,2.3654,success,0.9197530864197531,0.3542,0.9135802469135802,0.3356,0.9300411522633745,0.3644,0.9218106995884773,0.3515,0.9403292181069959,0.3927,0.9403292181069959,0.3735
wilt,0,3.5983,success,0.9823195934028588,0.5844,0.9467282625136143,0.4486,0.9823195934028588,0.5857,0.9467282625136143,0.4506,0.9864522994496054,0.6279,0.9820895503496846,0.5943
