dataset,benchmark,task_type,et_mean,et_std,et_time,oblique_mean,oblique_std,oblique_time,rf_mean,rf_std,rf_time,rotf_mean,rotf_std,rotf_time
FaceAll,aeon_tsc,classification,0.8771510168094607,0.012136113383048767,5.973699999999999,0.8014317750560636,0.00880916229240775,11.198220000000001,0.846451229563184,0.002788168065831237,26.92266,0.8667989189810822,0.014824893989998502,291.51316
FaceFour,aeon_tsc,classification,0.8916666666666666,0.03726779962499651,1.9775199999999997,0.8166666666666667,0.04750730937913077,2.06392,0.8333333333333334,0.029462782549439483,2.91886,0.9416666666666667,0.022821773229381965,174.00754
FacesUCR,aeon_tsc,classification,0.789914066033469,0.013399537375078773,3.2687399999999998,0.6899442183024272,0.02840618397913142,4.0485,0.7329564299713553,0.02016003905140009,8.78574,0.7689431629730137,0.018211836287661685,128.65618
FiftyWords,aeon_tsc,classification,0.5964444444444444,0.02432293029779936,10.60702,0.5262222222222223,0.018216801361705944,40.5603,0.5391111111111112,0.011504159204928718,66.86816,0.5928888888888888,0.015186088500684314,807.5638799999999
FingerMovements,aeon_tsc,classification,0.5468104222821204,0.010460508980258815,18.8292,0.5500029949086553,0.0369734701074915,629.83704,0.5575980832584606,0.019282611867515988,91.48214,0.5759508834980533,0.02410726603142856,1221.43186
Fish,aeon_tsc,classification,0.7396843950905903,0.018137635563993844,5.169639999999999,0.7819403857393337,0.020135934636868174,22.76904,0.7167738164815897,0.034698953324650963,17.27914,0.832144944476914,0.021981462467575374,327.95394
FloodModeling1,aeon_tser,regression,0.01802161541699468,0.0005081614631310343,13.077279999999998,0.0194388454755478,0.0005053016814058817,41.01912,0.020206248648593862,0.0002604742737372089,26.435700000000004,0.0186873497128385,0.0003417258872497108,479.76157
FloodModeling2,aeon_tser,regression,0.00853516602938642,0.00034420611406521187,6.60274,0.00836928077139024,0.0007176254796271586,11.602590000000001,0.00771338871429562,0.00045104878179500467,23.80167,0.00950052102642948,8.238141804428965e-05,570.90024
FloodModeling3,aeon_tser,regression,0.013113613586731859,0.00036430169208411737,11.62236,0.01465418192238658,6.262832641873134e-05,42.716120000000004,0.015561045346675401,0.00021909667136297309,26.14217,0.014139483722866919,0.00034097098263240254,432.83964
FordA,aeon_tsc,classification,0.7244644740494033,0.005250991345563743,121.65657999999999,0.7089702562679249,0.005709753610364776,593.66056,0.7109687760199833,0.0032173149947236942,946.6334200000001,0.8442102414654455,0.0056789261650256025,6749.27294
FordB,aeon_tsc,classification,0.732013201320132,0.008908938519454356,128.63894,0.7130363036303631,0.006372097011033901,611.4814,0.7132563256325632,0.008761255683555564,962.6809999999999,0.835973597359736,0.0059198032875891786,7650.165279999999
FreezerRegularTrain,aeon_tsc,classification,0.984,0.0036514837167011894,2.6483,0.9906666666666666,0.008944271909999135,2.57492,0.9453333333333334,0.005577733510227175,5.51792,1.0,0.0,149.2633
FreezerSmallTrain,aeon_tsc,classification,0.9777777777777779,0.03312693299999686,1.9325800000000002,0.8933333333333333,0.03613721753377916,1.29118,0.8992592592592592,0.04702391184623366,2.72758,0.9851851851851852,0.03312693299999684,135.51684
GasSensorArrayAcetone,aeon_tser,regression,0.24739149592432005,0.014030872529510819,96.04711999999999,0.2171338049232327,0.00965078266324668,18467.7347,0.2592577328334098,0.006934720205835529,508.22260000000006,0.18912480111202568,0.009719669757157049,35717.97096
GasSensorArrayEthanol,aeon_tser,regression,0.2572784672978519,0.0066476098795254955,91.34693999999999,0.18183838679767103,0.00490523384168595,17116.03408,0.25995213512663984,0.005645684343627959,422.43315999999993,0.162490143214001,0.008278305925802705,35777.6192
GesturePhaseSegmentationProcessed,openml_cc18,classification,0.6678218141260651,0.0026478184410412484,31.9843,0.6255260239213003,0.0030464734794595437,57.57000000000001,0.6395949656282669,0.003495616950125082,176.84333999999998,0.6661563640401976,0.0035006424054673294,1340.15138
GunPoint,aeon_tsc,classification,0.8909313725490197,0.040580197769113875,1.93736,0.8916666666666666,0.02705253994248025,1.0971,0.8632352941176471,0.030718030771128182,2.83648,0.8958333333333334,0.009088478538107453,70.83344
