dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
houses,obliquert,131932,37.9735,success,0.2636124015268229,5.2485,0.2721865965669708,3.1727,0.24581133591782642,13.5092,0.24698157445697064,8.8089
houses,obliquert,365838,38.101,success,0.26228912820533073,5.358,0.2707154920803177,3.1505,0.24521997148683836,13.5495,0.24591599985610615,8.8345
houses,obliquert,259178,37.4084,success,0.2633026947836107,5.3105,0.26990054837097865,3.1928,0.2446688232655989,13.3984,0.24728964577073895,8.5319
house_16H,obliquert,121958,75.6914,success,0.5869521221360555,10.1397,0.5965654577262086,6.4504,0.5800634693931769,31.9502,0.5804571176076299,15.9943
house_16H,obliquert,671155,70.8819,success,0.5843515362254399,10.14,0.5980108090706288,6.5105,0.5713899117658652,28.4924,0.5770124580313145,14.626
house_16H,obliquert,131932,77.3921,success,0.5881549412481473,10.1626,0.5966903613189175,6.5165,0.5742079177931712,32.3342,0.5756917214308889,16.2406
house_16H,obliquert,365838,69.919,success,0.5912491129211747,10.0744,0.5989272982326872,6.3768,0.5711143442689696,28.4186,0.5818149725498934,14.0164
house_16H,obliquert,259178,72.2057,success,0.5902309071728039,9.9595,0.5947013096345904,6.3522,0.5837048398283834,32.0235,0.5819861215791223,15.983
diamonds,obliquert,121958,56.2398,success,0.24352732560682522,11.8007,0.23666777570454808,6.5673,0.24426025281866823,23.804,0.23721645846882575,11.531
diamonds,obliquert,671155,58.2685,success,0.24302537426227136,11.6598,0.23637509272029922,6.5188,0.24341092372663953,23.7748,0.2370281206846601,13.778
diamonds,obliquert,131932,58.4747,success,0.24257506842540755,11.4373,0.23619933429443604,6.463,0.2429894652789,23.427,0.2366670495070067,14.2252
