dataset,model,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
Covid19Andalusia,rotf,121958,80.7905,success,0.014969812392516019,4.7073,0.015106494016552759,4.3746,0.014999124624007968,4.425,0.014409720082411112,10.4156,0.01449412417990587,10.5784,0.014727637049753134,8.9069,0.016183230509625394,2.8153,0.015654000702529144,3.3584,0.01556868041828778,2.7577,0.014815401396591368,7.4958,0.015134629190016125,8.1452,0.014975003339313822,8.7352
Covid19Andalusia,rotf,671155,65.9504,success,0.014780843832706121,3.4002,0.01476296288121781,3.7636,0.014252316174484364,3.4093,0.014943733248109404,9.0029,0.015230656451364783,8.9251,0.014660607205227839,8.978,0.016015583958205043,2.5608,0.015615290750884239,2.8194,0.015502786255796236,2.5629,0.015367288835319765,6.496,0.01597940723332115,6.2513,0.015251953801738346,6.3692
Covid19Andalusia,rotf,131932,70.8522,success,0.014662507200659994,3.7024,0.015035788333355693,3.9405,0.014250779978525951,3.7617,0.014085609004651911,9.1799,0.014643529470766756,9.4859,0.014380881202886742,9.468,0.015373269002259818,2.7163,0.01590035468038083,2.5561,0.015525362682345644,2.6471,0.0148697271411136,6.4429,0.015498067730717824,6.6274,0.014934086123618469,6.8366
Covid19Andalusia,rotf,365838,68.5402,success,0.013873908983473715,3.7682,0.013631617458931959,3.5987,0.013316081575153774,3.6985,0.013229143020822067,8.8734,0.013458830655223554,9.1515,0.013374247239297513,9.1432,0.014773034071873367,2.443,0.014539641256155733,2.523,0.014382702310671902,2.6606,0.01392335739679129,6.3201,0.013961229040232887,6.4404,0.013635536113219708,6.6796
Covid19Andalusia,rotf,259178,71.2142,success,0.012604029492394225,3.6091,0.012803629155697957,3.7751,0.013183231686205202,3.6733,0.012992399608419608,9.761,0.013045376219014292,9.9683,0.013953815370736021,9.6168,0.013490123399349255,2.6801,0.014209607721201426,2.7178,0.013753341117512594,2.682,0.012804568169730274,6.9409,0.01345470756704297,6.9583,0.013295805823786177,7.1298
Covid3Month,rotf,121958,62.6183,success,0.0423010382683727,3.7967,0.0420632404476258,3.2679,0.041698196015991645,3.9421,0.042036547731520345,8.5618,0.04192885645525072,8.9688,0.04146442785333365,8.2865,0.04130681004591625,2.3905,0.040065639924740236,2.1097,0.041915955522867414,2.5729,0.041819772676322774,5.8164,0.04081930536408879,5.9039,0.0417456639786613,6.0041
Covid3Month,rotf,671155,59.6855,success,0.04334165004887403,3.7571,0.04415226374668576,3.1732,0.042888532503386645,3.6174,0.043043036564945854,7.5378,0.04275420664441318,7.8755,0.041520475084612964,7.7515,0.04278517096493908,2.2338,0.04329888451938486,2.2496,0.041662311197435666,2.3497,0.04219869954897857,5.4611,0.04107016786425386,5.6967,0.04108779048392625,5.7193
Covid3Month,rotf,131932,57.0331,success,0.045563980281683424,2.7119,0.046090114302934804,2.4139,0.046371705767456646,2.6877,0.04567700606234948,6.5907,0.0456643324630544,8.0066,0.04588607012670912,8.3056,0.044652387328557856,2.0389,0.04573560935225151,2.5359,0.043266004836782446,2.3097,0.04360616621710015,5.558,0.043867817064366155,5.8628,0.04275302531367605,6.0125
Covid3Month,rotf,365838,49.8625,success,0.044933663988411504,2.6396,0.045274799693993485,2.9224,0.04516907035795581,2.7613,0.04568848603029008,6.4135,0.045639480045705706,6.594,0.04607312427142433,6.5856,0.044257688205961314,1.9087,0.04510767136580881,1.8965,0.045223403257187655,2.0008,0.04411221064858143,4.5931,0.045146112862616994,4.8545,0.04506791666627317,4.8466
Covid3Month,rotf,259178,50.0778,success,0.040914431900814514,2.4798,0.04220126005381911,2.9961,0.04132841578474123,2.5224,0.04113148607926704,6.4293,0.041602901435081496,6.4847,0.04121207147077214,6.5279,0.040469185128015124,1.8728,0.041565841502829264,1.9469,0.040431353485825244,2.2433,0.039572065539101586,4.4742,0.03974702413564379,5.1401,0.04021528705285738,5.0786
