dataset,model,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
elevators,rotf,671155,789.3123,success,0.002484632728412139,37.0092,0.0024821235391469143,33.9084,0.0024812409211776615,33.439,0.0024666662324325885,80.1843,0.002471082001857467,83.4024,0.002459514267755308,82.6047,0.0025295227319947467,37.9682,0.002522057536187928,38.2947,0.00253737741647333,40.3001,0.0024327740242271454,97.8576,0.0024262696656959844,91.2505,0.0024415718436991436,87.2501
elevators,rotf,131932,809.7787,success,0.002583812841689928,34.8894,0.002595975591744449,34.5601,0.0026011513229612124,38.7994,0.0024746872765594612,89.099,0.002477599433152644,85.5631,0.002473991521251957,86.0854,0.002414365484677627,38.6053,0.0024176544873553934,41.1776,0.0024200779430154796,43.8276,0.0023365301047239425,102.3893,0.002343619354014776,89.4754,0.0023411346830838745,80.9213
elevators,rotf,365838,795.2053,success,0.0025866918464344957,33.2822,0.002602007889743715,34.7091,0.0025887709492143397,33.6061,0.002526719730874441,83.9553,0.0025314889110651453,81.9962,0.0025337196917721958,82.5937,0.00245199436383179,38.0277,0.002468163299815208,42.0102,0.002460331698544415,40.5052,0.0023822121117147055,100.9239,0.002397264051878351,92.7985,0.0023895328032558488,86.506
elevators,rotf,259178,812.6865,success,0.0026056707284094808,35.3849,0.0026018797940299087,35.0025,0.0026106990502650592,38.329,0.0025331766237986614,91.1325,0.0025400156903538835,87.0934,0.0025384563384203526,89.7695,0.002465047838432182,40.1925,0.0024488009706487724,44.3107,0.0024350713016877074,43.9662,0.002360886753442907,101.9103,0.0023507492602324654,85.3697,0.002354795553566156,77.6551
wine_quality,rotf,121958,205.0715,success,0.6239578236782175,8.9745,0.6205613803668332,8.9295,0.6229545041388062,7.9765,0.61331636085525,22.1443,0.6122712157697311,20.8769,0.6135956955512262,22.826,0.6230992875480833,10.353,0.6193964853470693,11.1326,0.6241496311448328,10.0104,0.6131515083308123,23.9753,0.6105865350541281,22.6895,0.6131402724190411,22.8928
wine_quality,rotf,671155,189.1195,success,0.626480224515654,8.8557,0.6313415440013809,10.1357,0.6332989531467098,8.5843,0.6195979857833475,21.6114,0.6221881997159011,20.7731,0.6205135625620608,21.4863,0.626363790876474,8.3463,0.6295700034482584,8.0982,0.6280184877876513,8.3103,0.6198274376584357,21.1671,0.6214130907183885,20.5524,0.6182490454035269,20.9291
wine_quality,rotf,131932,210.5953,success,0.6281238232121201,7.7014,0.6270318241412254,8.3854,0.6305969720023373,8.9139,0.6193983699300565,22.3006,0.6197376952703714,26.1984,0.6197382846926894,23.0069,0.627597075742671,10.1813,0.6254679396855223,10.7352,0.6304519113055963,9.8088,0.6201680416954396,24.2132,0.6180855796023336,23.5429,0.6208774267879326,24.8774
wine_quality,rotf,365838,215.7876,success,0.6258901515222179,8.3689,0.6279126516226986,12.1009,0.6262649427681918,9.9443,0.6157726458003774,21.6059,0.6184588724365103,21.0615,0.6163576863706198,24.8034,0.6278438965494274,9.1444,0.628366138191999,9.9794,0.6264405480118717,12.8853,0.6162709809944181,24.7346,0.6165042243501465,25.6225,0.6168663708189362,23.3603
wine_quality,rotf,259178,209.2469,success,0.6164244934645131,9.2826,0.6184930512758139,10.1866,0.6218551988184745,8.4164,0.6104559955832574,23.6415,0.6112958614611471,22.1287,0.610554120887008,23.6017,0.6226304336527401,9.1966,0.6154647750944556,8.6967,0.6220286442366113,8.9112,0.6120319963423606,25.4796,0.6078764699167593,23.575,0.6120687314570669,23.8371
Ailerons,rotf,121958,921.5119,success,0.00016416417580719566,36.4181,0.00016355495375895484,38.8197,0.0001644789237565975,41.9719,0.0001614829315142813,98.8482,0.00016122655138458775,100.2686,0.00016155699623224458,99.8431,0.00016365802044180028,51.6625,0.0001638751837339586,49.7996,0.00016499869453425926,48.3335,0.00016095867925376172,108.3972,0.00016107140844391987,101.3141,0.00016127610663052867,98.1158
Ailerons,rotf,671155,958.6452,success,0.00016631658586801056,40.8299,0.00016623913806004036,43.7549,0.0001663571451462168,48.1447,0.0001632019767452739,103.2527,0.0001632317590113036,103.3631,0.00016342936607695454,102.2464,0.0001660732441920081,56.1542,0.00016631357325681522,56.9676,0.0001667918814796099,47.4703,0.00016300737921804892,107.4886,0.00016256357152918233,101.0908,0.00016274147810878715,98.9987
Ailerons,rotf,131932,913.8661,success,0.00016450421841290486,38.0971,0.0001641572271884094,38.4752,0.0001656527137798455,43.0986,0.00016197928293579388,94.9051,0.00016153465974748688,94.3135,0.00016217115241940494,94.7192,0.00016449279357871717,48.0053,0.00016531243124479834,50.3847,0.00016560935966033422,51.3419,0.00016128633467281516,109.4997,0.000161428106913231,103.3252,0.00016219380582034278,96.7562
