dataset,model,seed,time_taken,status,"{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 3, 'n_estimators': 50, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 20, 'remove_proportion': 0.75}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.25}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.5}","{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}","time_{'max_group': 7, 'n_estimators': 50, 'remove_proportion': 0.75}"
ozone-level-8hr,rotf,259178,254.3489,success,0.9442982456140351,11.4712,0.943859649122807,12.9317,0.9464912280701755,11.9387,0.9464912280701755,28.0493,0.9473684210526315,28.1691,0.9451754385964911,29.5268,0.9464912280701755,10.5387,0.9442982456140351,11.9234,0.9451754385964911,10.7357,0.9473684210526315,29.0538,0.9473684210526315,27.6837,0.9464912280701755,27.8034
cnae-9,rotf,121958,502.2825,success,0.8497942386831276,30.0037,0.8374485596707819,28.0312,0.8395061728395062,26.4006,0.8497942386831276,68.596,0.8436213991769548,66.9695,0.8456790123456791,67.4995,0.8549382716049383,18.0413,0.8508230452674898,18.3518,0.8590534979423868,18.4972,0.8580246913580248,47.869,0.8528806584362139,45.6733,0.8631687242798355,46.5321
cnae-9,rotf,671155,488.969,success,0.8425925925925926,29.2055,0.8425925925925926,26.3345,0.838477366255144,26.729,0.8405349794238682,74.4927,0.8436213991769548,67.8439,0.8425925925925926,66.0725,0.8446502057613169,17.8169,0.8415637860082305,18.3404,0.8539094650205762,18.6655,0.8477366255144033,44.4669,0.8467078189300411,44.4663,0.851851851851852,45.7506
cnae-9,rotf,131932,502.2661,success,0.8364197530864198,28.3032,0.838477366255144,26.011,0.831275720164609,26.7206,0.838477366255144,73.9671,0.8364197530864198,70.5454,0.8364197530864197,68.251,0.8364197530864198,18.3551,0.8405349794238682,19.5519,0.8415637860082305,17.1561,0.8425925925925926,45.1125,0.8467078189300411,43.605,0.8395061728395062,44.6182
cnae-9,rotf,365838,492.0757,success,0.8497942386831275,27.3512,0.8487654320987654,26.7701,0.8621399176954733,27.1617,0.8497942386831276,73.3252,0.8508230452674898,66.9528,0.8518518518518517,64.6468,0.8621399176954733,18.9728,0.8549382716049383,17.8027,0.8559670781893004,17.6229,0.8580246913580246,46.9572,0.8559670781893004,44.9675,0.8549382716049383,46.9152
cnae-9,rotf,259178,509.9638,success,0.8467078189300411,30.4771,0.8405349794238682,26.6499,0.8364197530864198,27.9578,0.8446502057613169,69.9482,0.8425925925925926,70.8039,0.839506172839506,67.6445,0.8456790123456791,19.7677,0.8487654320987654,18.0549,0.8405349794238685,17.813,0.8467078189300411,47.0216,0.8477366255144032,46.9601,0.8497942386831276,47.36
first-order-theorem-proving,rotf,121958,1119.8317,success,0.5933536357322221,46.6474,0.5986212771514904,47.1989,0.5924470524913973,46.1877,0.5971673602330224,117.1863,0.6057034702063285,117.5732,0.5977132098171795,117.1016,0.5899019311024439,54.3267,0.5931718837499679,53.4548,0.5937175354549934,55.6393,0.60134508339616,136.3121,0.6020703104129935,135.3889,0.6035246230897243,134.9324
first-order-theorem-proving,rotf,671155,1165.5091,success,0.5937178322736907,48.5786,0.5893596433426534,47.9593,0.5955328786070893,49.1907,0.6004381043970722,123.2047,0.5989862652094847,122.9921,0.6051603909300122,124.2154,0.5908133623819899,54.2647,0.5982607413739539,54.2541,0.6013463696105146,55.3922,0.6046169158954328,136.0918,0.597714891789797,138.5306,0.6055236970153891,139.8337
first-order-theorem-proving,rotf,131932,1128.2798,success,0.5984382389548816,45.7657,0.59916613733999,47.616,0.5922646079321828,47.7885,0.605340065181386,119.7139,0.6058857168864115,118.3776,0.604069087519961,121.309,0.5989830002038156,55.2051,0.5978951596785651,53.4817,0.5960787281912463,55.5401,0.6031601297295586,133.5541,0.6046139477084607,138.2283,0.605885123249017,134.7621
first-order-theorem-proving,rotf,365838,1139.2374,success,0.5982573774287191,46.821,0.5980743392321103,46.7119,0.6013441929400684,48.1394,0.6022525570930765,118.8676,0.6057027776293684,119.2522,0.6064300823770824,118.6414,0.593898693799853,56.1696,0.6004353340892316,55.0857,0.5960776398560231,53.786,0.6040696811573555,135.9334,0.6077008621593758,134.0343,0.6035237326336327,137.9318
