dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 0.5, 'min_samples_leaf': 1}","time_{'max_features': 0.5, 'min_samples_leaf': 1}","{'max_features': 0.5, 'min_samples_leaf': 5}","time_{'max_features': 0.5, 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
AppliancesEnergy,rf,365838,58.1845,success,4.057644552308674,0.8887,4.030379270389507,0.5814,4.146740566707273,11.8121,3.94830762289045,4.6346,4.083036857177067,22.6348,4.0287222107925915,8.8111
AppliancesEnergy,rf,259178,58.2379,success,4.423033939495151,0.8573,4.404501452463115,0.5905,4.377999640471181,11.3381,4.462621954797101,4.5575,4.422702082708052,22.2725,4.451384930857304,8.7456
BarCrawl6min,rf,121958,19.9908,success,0.05162870805674987,0.349,0.05386739143071517,0.316,0.053562688243086874,3.3413,0.05446067740054763,1.5393,0.05385963928775151,6.0712,0.05457959964492915,2.6584
BarCrawl6min,rf,671155,20.8892,success,0.05144303119409247,0.5917,0.05488430625493243,0.4493,0.051950766415582494,3.3439,0.05250451139140173,1.5237,0.051692581333566835,6.0459,0.05278618783927284,2.6754
BarCrawl6min,rf,131932,17.9931,success,0.05171597312287129,0.6074,0.05185968905798838,0.4479,0.05108148691285296,3.2614,0.05105796100562821,1.5182,0.051281856237782676,5.9544,0.05077982721910476,2.615
BarCrawl6min,rf,365838,19.197,success,0.05085202878254826,0.3579,0.05211643577569006,0.2697,0.0524418369607371,2.6059,0.052849041305230486,1.5256,0.052849735508587535,6.1007,0.053434428858468684,2.6945
BarCrawl6min,rf,259178,18.7619,success,0.05168395430195168,0.3536,0.0514092934644163,0.2613,0.05214663459968436,2.56,0.0522281419413644,1.5293,0.05260249350597956,5.9618,0.052424760126177535,2.6213
BeijingIntAirportPM25Quality,rf,121958,30.4745,success,56.042151133103,0.8412,56.36577601442463,0.6761,57.16474734489418,5.1115,56.87839829421406,2.7759,58.029320358247844,9.8684,57.785276659990245,5.1812
BeijingIntAirportPM25Quality,rf,671155,31.3081,success,56.937602132541166,1.107,57.11881383567905,0.7858,58.25599479107088,5.1341,57.45118633785745,2.7219,58.9025038798728,9.7542,58.52335536900125,5.1861
BeijingIntAirportPM25Quality,rf,131932,31.3428,success,55.78914674257684,1.2011,56.7467436169642,0.8301,57.296679553399905,5.1343,57.031558011849086,2.7822,57.608754583283094,9.6814,57.6785316165506,5.1822
BeijingIntAirportPM25Quality,rf,365838,30.6922,success,55.84415780715964,0.9292,56.26538970832831,0.826,56.65770776654781,5.1401,56.42194839662792,2.7907,57.813315838395226,9.8432,57.717017483128245,5.191
BeijingIntAirportPM25Quality,rf,259178,29.3281,success,56.32790888215223,1.3447,57.51829494852041,0.8155,58.542303457734185,5.2096,57.933703815521824,2.7685,59.27191389535972,9.757,58.98941313574145,5.1311
BinanceCoinSentiment,rf,121958,8.2125,success,0.34357983825603927,0.4674,0.34347750574400066,0.4144,0.3461422962531448,0.7785,0.341283842838848,0.527,0.3493031095343025,1.1953,0.34334602200871833,0.7279
BinanceCoinSentiment,rf,671155,3.9158,success,0.3462784955638429,0.336,0.33711726098303135,0.2618,0.3478892881380557,0.7156,0.33718049915652526,0.5369,0.35379081769872434,1.2053,0.3404766319128538,0.7129
BinanceCoinSentiment,rf,131932,4.2004,success,0.35021824828577247,0.469,0.3401457726065639,0.3843,0.34878470254661537,0.7616,0.3407027861160364,0.526,0.3516019619247506,1.1642,0.34672401028185834,0.7302
BinanceCoinSentiment,rf,365838,4.228,success,0.34590477748490417,0.4769,0.33741361288298277,0.399,0.3495353389379992,0.7742,0.34135340742966847,0.4982,0.353706680827802,1.19,0.34070185251391116,0.7214
BinanceCoinSentiment,rf,259178,4.2621,success,0.35050185373796716,0.4609,0.34084676058050806,0.3839,0.3485903506511831,0.7741,0.3428675211365109,0.531,0.3504114183023675,1.2189,0.34945308416348886,0.7266
BitcoinSentiment,rf,121958,4.8185,success,0.1783381691917625,0.5033,0.17608951581838386,0.4041,0.1810013886598655,0.886,0.17780106086069977,0.5937,0.1850559102751007,1.412,0.17854828013705704,0.8408
BitcoinSentiment,rf,671155,4.8979,success,0.17520614447019936,0.501,0.1775473752114627,0.4068,0.1757935779733264,0.8948,0.17695625005876567,0.5902,0.17951940942291475,1.4313,0.18073750138917388,0.8481
BitcoinSentiment,rf,131932,4.8589,success,0.17768673228811127,0.4992,0.17750414282667823,0.4052,0.18154509834136304,0.897,0.18025726095328895,0.6049,0.18119835818857,1.4303,0.18132500991361603,0.8461
BitcoinSentiment,rf,365838,4.8887,success,0.17363152458994954,0.4999,0.17411918981546926,0.4147,0.17480528450622432,0.9001,0.1751914871914805,0.5878,0.17858956011056212,1.4169,0.17646902598746142,0.8435
BitcoinSentiment,rf,259178,4.9269,success,0.1745649892816651,0.5386,0.1736320818756253,0.4089,0.17908938836698976,0.9199,0.17824083178185415,0.6074,0.1802178530487468,1.4256,0.17835089858366063,0.8451
BoronConcentration,rf,121958,336.3672,success,2.5799939369309945,3.4466,2.237067277697626,2.308,3.0813484815724106,68.9712,2.237973252402468,41.4031,3.1163975194741766,136.7769,2.2798337220441973,82.197
BoronConcentration,rf,671155,345.6549,success,2.4935701038195828,3.5057,2.247158887952753,2.3756,2.590007729065604,71.1684,2.320432260798921,42.8283,2.636976646807534,140.319,2.324730119930483,84.16
BoronConcentration,rf,131932,357.8593,success,3.1176934143611987,3.4284,2.336630545639868,2.3264,2.8151300595245363,68.286,2.3355534442468118,40.5778,2.8144161820359055,137.8896,2.337836342694209,82.7908
BoronConcentration,rf,365838,369.7328,success,2.3954789120566993,3.4683,2.15942428994029,2.3865,2.323819138834123,69.6939,2.1535960284378426,41.983,2.3025746198925274,137.6406,2.1328165732725797,81.9589
BoronConcentration,rf,259178,371.085,success,2.7769397031080705,3.508,2.3320232009340907,2.4078,2.506920443440217,70.9947,2.327939228624592,42.3122,2.4820891270560494,142.9436,2.3355790303018367,85.7546
