dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
BitcoinSentiment,obliquert,121958,2.0954,success,0.18314955612983694,0.2675,0.17801660788586648,0.1921,0.17687342461960123,1.0341,0.17496930393989898,0.3918
BitcoinSentiment,obliquert,671155,1.8446,success,0.17834173039860735,0.2665,0.1802782519592224,0.191,0.17822165567434922,0.8768,0.17790905357332154,0.3007
BitcoinSentiment,obliquert,131932,1.8828,success,0.17909590786329835,0.2841,0.17778895738309294,0.1997,0.1784761695905199,0.9105,0.1783487966287494,0.3958
BitcoinSentiment,obliquert,365838,1.9364,success,0.17448445062343165,0.2793,0.17247690064449017,0.2006,0.17643362410491778,0.9472,0.17915857434532959,0.4146
BitcoinSentiment,obliquert,259178,2.1153,success,0.17691900374173608,0.299,0.17662310013768648,0.205,0.1836363186030002,0.9475,0.17566909902036332,0.434
BoronConcentration,obliquert,121958,11074.7256,success,2.4547285011495656,35.1071,2.1881870020885246,8.3991,2.6812937006359134,8639.8191,2.170379764168058,1597.3953
BoronConcentration,obliquert,671155,9690.9971,success,2.5867334683270506,36.9007,2.2879769855226364,8.7792,2.559121244551053,8115.3762,2.238770409260973,1033.81
BoronConcentration,obliquert,131932,9867.7985,success,2.9490919979455845,34.8491,2.248526078603655,8.3592,2.836723983235323,8043.6772,2.217267742845677,1287.1302
BoronConcentration,obliquert,365838,9835.3444,success,2.0941035393956087,34.7275,2.1208063550710077,8.2441,2.203419401677713,8181.7977,2.1424150515420295,1591.4773
BoronConcentration,obliquert,259178,9286.5715,success,2.7519618118221083,35.6033,2.3525611872677388,8.561,2.4619514026844125,8244.0996,2.3573651408659333,995.6333
CalciumConcentration,obliquert,121958,11409.4944,success,2804.3921025413088,42.4236,2907.03695613268,8.158,2423.408145105987,9420.4317,2422.1120099525674,1437.0132
CalciumConcentration,obliquert,671155,11079.8477,success,3048.8691484829437,42.8574,2665.752799231483,8.0199,2740.024266435454,9685.5909,2359.094108677859,893.2448
CalciumConcentration,obliquert,131932,10627.3209,success,2834.916312205882,41.0018,2844.620746217866,7.6935,2472.0821722011133,9029.8447,2463.730283749714,1107.0722
CalciumConcentration,obliquert,365838,11241.0871,success,2758.812087962151,40.1568,2905.382849486881,7.1751,2333.446705875979,9442.487,2323.1860610668255,1308.8835
CalciumConcentration,obliquert,259178,11294.9953,success,3074.1772689595214,39.3358,2868.6451360820524,7.4264,2597.8482458624076,9343.9307,2522.9087109841116,1389.618
CardanoSentiment,obliquert,121958,1.0981,success,0.28597437481475857,0.1875,0.28401520420602333,0.1633,0.2743135096496439,0.3654,0.2922115156042357,0.2046
CardanoSentiment,obliquert,671155,0.9743,success,0.2963878331596342,0.185,0.2801930722182618,0.1612,0.29183159103713996,0.3519,0.29167692227370556,0.1995
CardanoSentiment,obliquert,131932,0.9972,success,0.29420732569983576,0.187,0.29551436929256,0.1613,0.29658873961712584,0.3588,0.30389114152399566,0.2007
CardanoSentiment,obliquert,365838,0.9946,success,0.2770748823431018,0.1897,0.2781612646452872,0.1616,0.27972331330132777,0.356,0.2790444117341652,0.2028
CardanoSentiment,obliquert,259178,0.9969,success,0.2667765704703121,0.1858,0.2749219078425755,0.1612,0.28166485843479805,0.3582,0.2853158692922864,0.2064
