dataset,model,seed,time_taken,status,"{'max_features': 'sqrt', 'min_samples_leaf': 1}","time_{'max_features': 'sqrt', 'min_samples_leaf': 1}","{'max_features': 'sqrt', 'min_samples_leaf': 5}","time_{'max_features': 'sqrt', 'min_samples_leaf': 5}","{'max_features': 1.0, 'min_samples_leaf': 1}","time_{'max_features': 1.0, 'min_samples_leaf': 1}","{'max_features': 1.0, 'min_samples_leaf': 5}","time_{'max_features': 1.0, 'min_samples_leaf': 5}"
wine_quality,obliquert,671155,9.8488,success,0.6345314077875505,1.407,0.6584173175979163,1.0524,0.6345862695544892,3.6631,0.6492789007753221,2.7678
wine_quality,obliquert,131932,9.8486,success,0.6336509699426268,1.4228,0.6608899549873252,1.0831,0.6371869046419972,3.6263,0.6520406153489212,2.7695
wine_quality,obliquert,365838,10.8433,success,0.6363525116703741,1.3986,0.6574201903699047,1.0346,0.6350635175434433,3.5989,0.6522394049701616,2.7646
wine_quality,obliquert,259178,10.9322,success,0.631426209685709,1.4041,0.6585628078424458,1.0483,0.631317372554387,3.6379,0.6444478630941523,2.7599
Ailerons,obliquert,121958,42.7369,success,0.00018803600000434723,4.4648,0.00019337113270448373,2.3311,0.00016602190538724448,19.1703,0.00016588604398315045,11.1631
Ailerons,obliquert,671155,44.1205,success,0.00019087567145493274,4.2663,0.00019607612269152098,2.3127,0.00016740430838813,19.5062,0.0001678992026663891,11.4539
Ailerons,obliquert,131932,40.6929,success,0.0001909602807552747,4.403,0.0001953863651872162,2.3243,0.0001664652685980766,19.5638,0.00016610035889172805,8.1946
Ailerons,obliquert,365838,41.962,success,0.000189969760626096,2.6452,0.00019406067313806766,2.0254,0.00016735394702833547,19.418,0.00016732974069673932,11.5561
Ailerons,obliquert,259178,41.6758,success,0.00018807190519400777,4.4268,0.00019264902944926595,2.3315,0.00016632587338385584,19.1999,0.0001668285635847068,9.1805
houses,obliquert,121958,37.4384,success,0.2609362708870671,5.1242,0.26857132602296585,3.1488,0.2450739222614351,13.2292,0.24634866915671005,8.7565
houses,obliquert,671155,38.0624,success,0.2623848645180571,5.2207,0.2685082824248641,3.1671,0.24470387960988058,13.6276,0.24625109108260013,8.8224
houses,obliquert,131932,38.1314,success,0.2636124015268229,5.3178,0.2721865965669708,3.2312,0.24581133591782642,13.5569,0.24698157445697064,8.7985
