classification_name,tablename,feature_type,model_type,metric_type,dataset_rows,dataset_columns,avg_score,std_score,avg_time_taken
AEON-TSC,FaceFour,Continuous,et,Accuracy,112,350,0.8545453999999999,0.025913402754173396,0.18656
AEON-TSC,FaceFour,Continuous,rf,Accuracy,112,350,0.8204546,0.048478851784051154,0.2839
AEON-TSC,FaceFour,Continuous,rotf,Accuracy,112,350,0.8977272,0.0461594937548063,7.79648
AEON-TSER,AluminiumConcentration,Continuous,et,RMSE,629,2542,0.9931872528716484,0.0038380195003097483,47.98908
AEON-TSER,AluminiumConcentration,Continuous,rf,RMSE,629,2542,0.9914158042694456,0.008920367462299128,131.84967999999998
AEON-TSER,AluminiumConcentration,Continuous,rotf,RMSE,629,1271,0.7752046320086853,0.012119312323392136,148.94786
AEON-TSER,AppliancesEnergy,Continuous,et,RMSE,137,3456,0.9841221533504999,0.014458356151974541,12.351989999999999
AEON-TSER,AppliancesEnergy,Continuous,rf,RMSE,137,3456,0.9101567623952361,0.0083655497052253,25.109389999999998
AEON-TSER,AppliancesEnergy,Continuous,rotf,RMSE,137,1152,0.6377177794828327,0.019298532482891217,36.62447
AEON-TSER,BIDMC32HR,Continuous,et,RMSE,7949,8000,0.9941246929327644,0.004379463835768284,2542.86166
AEON-TSER,BIDMC32HR,Continuous,rf,RMSE,7949,8000,0.9893456472727303,0.0010121711724948733,6287.2245
AEON-TSER,BIDMC32HR,Continuous,rotf,RMSE,7949,1000,0.9466915269767547,0.004277693489380071,1783.07699
AEON-TSER,BIDMC32RR,Continuous,et,RMSE,7870,8000,0.9863134150835441,0.0018870468113323263,2621.10923
AEON-TSER,BIDMC32RR,Continuous,rf,RMSE,7870,8000,0.9767270952538061,0.0017893809394787824,6774.78937
AEON-TSER,BIDMC32RR,Continuous,rotf,RMSE,7870,1000,0.996057589242759,0.0030312054271529366,1858.8312300000002
AEON-TSER,BIDMC32SpO2,Continuous,et,RMSE,7949,8000,0.9966478236180704,0.0020176281547993214,1932.7571400000002
AEON-TSER,BIDMC32SpO2,Continuous,rf,RMSE,7949,8000,0.9952391870256744,0.0022843382714017426,5601.5702
AEON-TSER,BIDMC32SpO2,Continuous,rotf,RMSE,7949,1000,0.9915863566525968,0.0010731172737491023,1565.44228
AEON-TSER,BarCrawl6min,Continuous,et,RMSE,201,1080,0.9819605399792316,0.01374058671313871,4.307840000000001
AEON-TSER,BarCrawl6min,Continuous,rf,RMSE,201,1080,0.9758255451713396,0.008613793230363126,6.34764
AEON-TSER,BarCrawl6min,Continuous,rotf,RMSE,201,1080,0.9745711318795431,0.02171354511917705,48.2274
